report_id,report_timestamp,citizen_latitude,citizen_longitude,report_type,reporter_role,description,detection_id,matching_method,distance_to_hotspot_km,province_name,verification_status,verified_by,verification_timestamp,crpi_initial,crpi_updated,urgency_tier_initial,urgency_tier_updated,response_time_minutes,dispatch_status,resolution_status,last_updated,is_simulated,source_type
RPT-DUMMY-0001,2026-05-01T00:00,-2.19505,113.83908,verified_severe,warga_lokal,Simulated report for dashboard demo,FRL-20240917-0603-S0219505-E11383908,within_5km,0.14,Kalimantan Tengah,received,,,81.20,81.20,Tier 1: Kritis (Critical Risk),Tier 1: Kritis (Critical Risk),0,not_dispatched,open,2026-05-01T00:00,true,dummy
RPT-DUMMY-0002,2026-05-01T07:11,-0.31464,109.55189,smoldering_peat,pihak_sekolah,Simulated report for dashboard demo,FRL-20260326-0601-S0031564-E10955289,within_5km,0.32,Kalimantan Barat,under_review,,,86.02,86.02,Tier 1: Kritis (Critical Risk),Tier 1: Kritis (Critical Risk),0,not_dispatched,open,2026-05-01T07:11,true,dummy
RPT-DUMMY-0003,2026-05-01T14:22,-0.26957,109.49937,verified_minor,relawan_mpa,Simulated report for dashboard demo,FRL-20260324-0639-S0027157-E10949937,within_5km,0.50,Kalimantan Barat,verified_valid,TRC_BPBD_Regu_1,2026-05-01T15:06,82.04,69.73,Tier 1: Kritis (Critical Risk),Tier 2: Tinggi (High Risk),44,completed,open,2026-05-01T15:06,true,dummy
RPT-DUMMY-0004,2026-05-01T21:33,-0.26696,109.50090,false_alarm,petugas_desa,Simulated report for dashboard demo,FRL-20260323-0658-S0026696-E10950190,within_5km,0.68,Kalimantan Barat,rejected,,2026-05-01T22:24,81.36,24.41,Tier 1: Kritis (Critical Risk),Tier 4: Rendah (Low Risk),51,not_dispatched,rejected,2026-05-01T22:24,true,dummy
RPT-DUMMY-0005,2026-05-02T04:44,-0.26572,109.49866,smoke_exposure,warga_lokal,Simulated report for dashboard demo,FRL-20260324-0639-S0026672-E10949866,within_5km,0.86,Kalimantan Barat,actioned,TRC_BPBD_Regu_1,2026-05-02T05:42,82.34,98.81,Tier 1: Kritis (Critical Risk),Tier 1: Kritis (Critical Risk),58,dispatched,open,2026-05-02T05:42,true,dummy
RPT-DUMMY-0006,2026-05-02T11:55,-3.98305,114.74029,verified_severe,pihak_sekolah,Simulated report for dashboard demo,FRL-20250703-0545-S0398505-E11474129,within_5km,0.14,Kalimantan Selatan,received,,,64.88,64.88,Tier 2: Tinggi (High Risk),Tier 2: Tinggi (High Risk),0,not_dispatched,open,2026-05-02T11:55,true,dummy
RPT-DUMMY-0007,2026-05-02T19:06,-3.98371,114.69962,smoldering_peat,relawan_mpa,Simulated report for dashboard demo,FRL-20240918-0544-S0398371-E11469962,within_5km,0.32,Kalimantan Selatan,under_review,,,63.79,63.79,Tier 2: Tinggi (High Risk),Tier 2: Tinggi (High Risk),0,not_dispatched,open,2026-05-02T19:06,true,dummy
RPT-DUMMY-0008,2026-05-03T02:17,-3.92315,114.73708,verified_minor,petugas_desa,Simulated report for dashboard demo,FRL-20240919-0525-S0392415-E11473808,within_5km,0.50,Kalimantan Selatan,verified_valid,Manggala_Agni_Daops_Ketapang,2026-05-03T03:36,61.19,52.01,Tier 2: Tinggi (High Risk),Tier 3: Sedang (Medium Risk),79,completed,open,2026-05-03T03:36,true,dummy
RPT-DUMMY-0009,2026-05-03T09:28,-3.87411,114.68378,false_alarm,warga_lokal,Simulated report for dashboard demo,FRL-20240928-0556-S0387611-E11468378,within_5km,0.68,Kalimantan Selatan,rejected,,2026-05-03T10:54,62.73,18.82,Tier 2: Tinggi (High Risk),Tier 4: Rendah (Low Risk),86,not_dispatched,rejected,2026-05-03T10:54,true,dummy
RPT-DUMMY-0010,2026-05-03T16:39,-3.86561,115.19546,smoke_exposure,pihak_sekolah,Simulated report for dashboard demo,FRL-20250504-0609-S0386561-E11519646,within_5km,0.86,Kalimantan Selatan,actioned,Manggala_Agni_Daops_Ketapang,2026-05-03T18:12,65.13,78.16,Tier 2: Tinggi (High Risk),Tier 2: Tinggi (High Risk),93,dispatched,open,2026-05-03T18:12,true,dummy
RPT-DUMMY-0011,2026-05-03T23:50,-4.13186,114.69680,verified_severe,relawan_mpa,Simulated report for dashboard demo,FRL-20260424-0516-S0413286-E11469680,within_5km,0.14,Kalimantan Selatan,received,,,41.17,41.17,Tier 3: Sedang (Medium Risk),Tier 3: Sedang (Medium Risk),0,not_dispatched,open,2026-05-03T23:50,true,dummy
RPT-DUMMY-0012,2026-05-04T07:01,-4.13050,114.66368,smoldering_peat,petugas_desa,Simulated report for dashboard demo,FRL-20241009-0550-S0413250-E11466468,within_5km,0.32,Kalimantan Selatan,under_review,,,41.10,41.10,Tier 3: Sedang (Medium Risk),Tier 3: Sedang (Medium Risk),0,not_dispatched,open,2026-05-04T07:01,true,dummy
RPT-DUMMY-0013,2026-05-04T14:12,-4.13197,114.66817,verified_minor,warga_lokal,Simulated report for dashboard demo,FRL-20241009-0550-S0413197-E11466817,within_5km,0.50,Kalimantan Selatan,verified_valid,TRC_BPBD_Regu_1,2026-05-04T16:06,42.24,35.90,Tier 3: Sedang (Medium Risk),Tier 4: Rendah (Low Risk),114,completed,open,2026-05-04T16:06,true,dummy
RPT-DUMMY-0014,2026-05-04T21:23,-4.12818,114.66318,false_alarm,pihak_sekolah,Simulated report for dashboard demo,FRL-20241009-0550-S0412918-E11466418,within_5km,0.68,Kalimantan Selatan,rejected,,2026-05-04T23:24,40.83,12.25,Tier 3: Sedang (Medium Risk),Tier 4: Rendah (Low Risk),121,not_dispatched,rejected,2026-05-04T23:24,true,dummy
RPT-DUMMY-0015,2026-05-05T04:34,-4.12665,114.66767,smoke_exposure,relawan_mpa,Simulated report for dashboard demo,FRL-20241009-0550-S0412865-E11466767,within_5km,0.86,Kalimantan Selatan,actioned,TRC_BPBD_Regu_1,2026-05-05T06:42,41.55,49.86,Tier 3: Sedang (Medium Risk),Tier 3: Sedang (Medium Risk),128,dispatched,open,2026-05-05T06:42,true,dummy
RPT-DUMMY-0016,2026-05-05T11:45,-4.17349,114.67345,verified_severe,petugas_desa,Simulated report for dashboard demo,FRL-20251017-0557-S0417349-E11467445,within_5km,0.14,Kalimantan Selatan,received,,,26.64,26.64,Tier 4: Rendah (Low Risk),Tier 4: Rendah (Low Risk),0,not_dispatched,open,2026-05-05T11:45,true,dummy
RPT-DUMMY-0017,2026-05-05T18:56,-4.17156,114.66012,smoldering_peat,warga_lokal,Simulated report for dashboard demo,FRL-20250719-0545-S0417256-E11466012,within_5km,0.32,Kalimantan Selatan,under_review,,,25.77,25.77,Tier 4: Rendah (Low Risk),Tier 4: Rendah (Low Risk),0,not_dispatched,open,2026-05-05T18:56,true,dummy
RPT-DUMMY-0018,2026-05-06T02:07,-4.16982,114.68671,verified_minor,pihak_sekolah,Simulated report for dashboard demo,FRL-20240926-1736-S0417182-E11468771,within_5km,0.50,Kalimantan Selatan,verified_valid,Manggala_Agni_Daops_Ketapang,2026-05-06T04:36,24.95,21.21,Tier 4: Rendah (Low Risk),Tier 4: Rendah (Low Risk),149,completed,open,2026-05-06T04:36,true,dummy
RPT-DUMMY-0019,2026-05-06T09:18,-4.15911,114.66872,false_alarm,relawan_mpa,Simulated report for dashboard demo,FRL-20241009-0550-S0415911-E11466872,within_5km,0.68,Kalimantan Selatan,rejected,,2026-05-06T11:54,30.78,9.23,Tier 4: Rendah (Low Risk),Tier 4: Rendah (Low Risk),156,not_dispatched,rejected,2026-05-06T11:54,true,dummy
RPT-DUMMY-0020,2026-05-06T16:29,-4.15262,114.64255,smoke_exposure,petugas_desa,Simulated report for dashboard demo,FRL-20241106-0525-S0415362-E11464355,within_5km,0.86,Kalimantan Selatan,actioned,Manggala_Agni_Daops_Ketapang,2026-05-06T19:12,27.71,33.25,Tier 4: Rendah (Low Risk),Tier 4: Rendah (Low Risk),163,dispatched,open,2026-05-06T19:12,true,dummy
